prog,           start_addr (flash), end_addr (flash),   size(flash),    start_addr (ram),   end_addr (ram),     size(ram),      start_addr (ram2),      end_addr (ram2),        size(ram2),
core,           0x08000000,         0x08100000,         1024K,          0x20000000,         0x20018000,         96K,            0x10000000,             0x10004000,             0x16K,
terminal_app    0x08200000,         0x08300000,         1024K,          0x20020000,         0x20038000,         96K,            0x10005000,             0x10009000,             0x16K,


app_init = 0x08200000;
